N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        47.15,        47.06,        47.77,        47.06,        47.38,                 29924027.40,628835,333,        49.95,        39.06,NIFTY BANK
N,EQ,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,      1000.00,      1000.00,      1000.01,       999.99,      1000.00,                 15778993.15,15779,43,      1030.00,       994.04,CRISIL OVERNIGHT FUND AI INDEX
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        61.82,        62.82,        63.27,        60.85,        62.46,                   458827.32,7362,168,        67.00,        37.90,NIFTY NEXT 50 ETF
N,EQ,ALPHA,KOTAKMAMC - KOTAKALPHA,        44.79,        44.99,        45.49,        43.93,        45.43,                 24908826.29,551257,2214,        46.87,        24.26,NIFTY ALPHA 50 INDEX
N,EQ,ALPHAETF,MIRAEAMC - ALPHAETF,        23.13,        23.37,        23.39,        23.12,        23.33,                  1461111.58,62832,410,        24.15,        16.56,NIFTY 200 ALPHA 30 TOTAL RETURN INDEX
N,EQ,ALPL30IETF,ICICIPRAMC - ICICIALPLV,       267.17,       267.17,       271.48,       266.51,       270.33,                 22288445.25,82591,525,       277.05,       167.06,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       214.53,       215.01,       219.00,       214.05,       218.10,                 45140269.70,207753,2479,       219.00,       120.20,NIFTY AUTO INDEX
N,EQ,AUTOIETF,ICICIPRAMC - ICICIAUTO,        21.51,        21.51,        21.92,        21.37,        21.79,                  4692875.93,215954,981,       212.97,        20.40,NIFTY AUTO INDEX
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       474.94,       477.47,       480.86,       476.90,       478.16,                   272101.55,568,38,       495.98,       396.17,NIFTY BANK INDEX
N,EQ,AXISBPSETF,AXISAMC - AXISBPSETF,        11.59,        11.95,        11.95,         9.50,        11.60,                  4636651.90,405218,572,        13.30,         9.50,NIFTY AAA BOND PLUS SDL APR 2026 50:50 INDEX
N,EQ,AXISCETF,AXISAMC - AXISCETF,       101.56,       101.56,       103.36,       101.56,       102.52,                    83031.91,810,23,       103.36,        71.03,NIFTY INDIA CONSUMPTION INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        56.32,        56.59,        56.88,        56.33,        56.71,                  3419045.34,60276,854,        57.20,        47.51,GOLD
N,EQ,AXISHCETF,AXISAMC - AXISHCETF,       120.67,       120.19,       122.20,       120.19,       121.86,                   449712.38,3705,62,       127.15,        75.16,NIFTY HEALTHCARE INDEX
N,EQ,AXISILVER,AXISAMC - AXISILVER,        74.95,        74.62,        75.50,        74.62,        75.11,                   741454.01,9849,87,        79.48,        68.52,SILVER
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       237.91,       242.10,       242.10,       237.11,       240.10,                  5668937.32,23692,166,       248.10,       179.70,NIFTY 50
